fname,mname,lname,studentNo,dob,address,mobile,email,faculty
Rayna,Westlyn,Forrest,2344722467,09-Dec-97,"217 E. Summerhouse Street, Sun City, AZ 85351",(999) 845-4331,forrestRA@myuni.db,Arts
Halle,Yides,Levin,2344776115,13-Jul-05,"9721 Helen Street, Scarsdale, NY 10583",(248) 379-3303,levinHA@myuni.db,Science
Joelle,Zohemy,Durham,2344494918,04-Oct-04,"7085 Cooper St., Myrtle Beach, SC 29577",(361) 485-3716,durhamJO@myuni.db,Arts
Roselyn,Aarvi,Guthrie,2344159385,17-Mar-03,"65 SW. Lower River Street, Sioux City, IA 51106",(458) 459-3947,guthrieRO@myuni.db,Arts
Jolie,Alitzel,Freedman,2344284616,16-Oct-00,"113 Rockcrest Road, East Orange, NJ 07017",(678) 837-7438,freedmanJO@myuni.db,Agriculture
Elodie,Amariyah,Wiggins,2344833692,16-Jun-04,"8429 Evergreen Ave., Littleton, CO 80123",(515) 350-3076,wigginsEL@myuni.db,Architecture
Nala,Anamaria,Best,2344981190,24-Feb-02,"3 Nicolls St., Salisbury, MD 21801",(989) 475-0609,bestNA@myuni.db,Engineering
Justice,Aurielle,Crawford,2344377268,24-Dec-00,"56 West Country St., Fairport, NY 14450",(559) 870-0123,crawfordJU@myuni.db,Science
Novah,Bellamie,Drake,2344520890,24-Jan-99,"50 Devon Avenue, Falls Church, VA 22041",(268) 413-0922,drakeNO@myuni.db,Agriculture
Jenesis,Brookelynn,Curtis,2344478513,06-Aug-03,"440 East Essex Street, Oakland, CA 94603",(659) 753-9124,curtisJE@myuni.db,Architecture
Hadlee,Christy,Walter,2344804114,30-Jul-95,"7 Arnold St., Severna Park, MD 21146",(765) 249-1207,walterHA@myuni.db,Social Work
Waverly,Corinna,Jenkins,2344882140,25-May-98,"314 Elm St., Pearl, MS 39208",(985) 560-7292,jenkinsWA@myuni.db,Agriculture
Pearl,Ellyanna,Hood,2344155259,21-Aug-96,"98 Golden Star Drive, Westport, CT 06880",(496) 640-0437,hoodPE@myuni.db,Arts
Katelyn,Emmaleigh,Jiang,2344560918,23-Jan-00,"9886 St Paul Road, Media, PA 19063",(594) 564-6557,jiangKA@myuni.db,Science
Azariah,Esmerelda,Johnson,2344552992,10-Apr-05,"879 Linden Street, Dubuque, IA 52001",(439) 719-5560,johnsonAZ@myuni.db,Science
Giana,Ginny,Craig,2344758120,09-May-99,"7066 Marsh Street, Aberdeen, SD 57401",(848) 963-5844,craigGI@myuni.db,Agriculture
Cadence,Ina,McIntyre,2344980229,02-Nov-04,"8374 N. East Lane, Port Jefferson Station, NY 11776",(581) 332-8195,mcintyreCA@myuni.db,Humanities
Ila,Jaiden,Brantley,2344644542,08-Jul-97,"404 Bishop St., North Augusta, SC 29841",(440) 532-9272,brantleyIL@myuni.db,Arts
Jovie,Javeah,Kelley,2344398461,28-Dec-97,"79 State St., Manchester Township, NJ 08759",(323) 721-5656,kelleyJO@myuni.db,Arts
Bellamy,Kaior,Smith,2344814533,10-Jul-05,"8967 Westport Street, Milledgeville, GA 31061",(798) 227-8674,smithBE@myuni.db,Social Work
Kara,Kamyah,Wall,2344493888,21-Jun-95,"98 Circle Avenue, Cleveland, TN 37312",(891) 312-9191,wallKA@myuni.db,Science
Jianna,Katherin,Quinn,2344231439,28-Jul-04,"918 Tallwood St., Akron, OH 44312",(416) 850-9869,quinnJI@myuni.db,Engineering
Alena,Lennix,Hicks,2344634978,04-Aug-01,"57 Manor Station Lane, West Islip, NY 11795",(546) 227-9693,hicksAL@myuni.db,Agriculture
Elliot,Maeven,Garrison,2344763704,15-Feb-05,"7311 N. Thorne Ave., Elizabeth, NJ 07202",(999) 729-3947,garrisonEL@myuni.db,Engineering
Ashlynn,Malorie,Dickerson,2344673711,04-Sep-95,"2 Purple Finch St., Middle River, MD 21220",(423) 435-8838,dickersonAS@myuni.db,Arts
Emmalyn,Medina,Waller,2344379877,28-Mar-95,"92 Jones Dr., Kings Mountain, NC 28086",(411) 487-2494,wallerEM@myuni.db,Architecture
Marceline,Novi,Carter,2344611297,27-Aug-99,"42 North Swanson St., Norwich, CT 06360",(207) 716-2806,carterMA@myuni.db,Agriculture
Kiana,Ora,Katz,2344401379,18-Oct-95,"617 Jones Street, Bangor, ME 04401",(964) 553-7789,katzKI@myuni.db,Arts
Aliya,Raniya,Hull,2344857604,30-Sep-98,"734 Chapel Court, Hastings, MN 55033",(580) 804-1313,hullAL@myuni.db,Architecture
Harlee,Remie,Brock,2344288730,27-Mar-96,"607 Mill Dr., Farmingdale, NY 11735",(228) 703-0470,brockHA@myuni.db,Architecture
Lillie,Ryker,McMillan,2344124778,07-Sep-04,"8741 Kingston Avenue, Tucson, AZ 85718",(691) 815-9637,mcmillanLI@myuni.db,Agriculture
Ensley,Seraphine,Hu,2344456914,03-Jan-99,"356 E. Ivy Drive, Caldwell, NJ 07006",(655) 446-6238,huEN@myuni.db,Arts
Kallie,Suhana,McKee,2344904354,10-Oct-04,"6 North Marshall Drive, Lorton, VA 22079",(386) 738-4895,mckeeKA@myuni.db,Agriculture
Berkley,Taniya,Sims,2344434381,03-Nov-05,"83 Brickell St., Jacksonville Beach, FL 32250",(694) 730-1720,simsBE@myuni.db,Science
Jaylani,Tennessee,Henderson,2344165619,02-May-96,"8663 Sussex Lane, Tuckerton, NJ 08087",(466) 495-6860,hendersonJA@myuni.db,Humanities
Aubrie,Tyanna,Rao,2344895128,09-Jun-01,"12 Cedarwood Avenue, Pittsfield, MA 01201",(622) 676-7021,raoAU@myuni.db,Architecture
Paulina,Yari,Bray,2344250219,07-Oct-98,"635 Mayflower Court, Midland, MI 48640",(201) 691-6818,brayPA@myuni.db,Agriculture
Aya,Adamaris,Ford,2344246184,10-Dec-95,"9865 10th St., Drexel Hill, PA 19026",(224) 578-7647,fordAY@myuni.db,Social Work
Milana,Alany,Blum,2344672116,12-Aug-03,"15 Surrey St., Macungie, PA 18062",(210) 859-2708,blumMI@myuni.db,Social Work
Iyla,Amaiyah,Kenney,2344543419,25-Dec-95,"375 Linda St., Land O Lakes, FL 34639",(476) 711-0407,kenneyIY@myuni.db,Arts
Hana,Aviella,Gordon,2344337859,10-Sep-04,"9195 Clinton Rd., Mableton, GA 30126",(465) 851-7706,gordonHA@myuni.db,Humanities
Andi,Beautiful,Blair,2344763560,29-Nov-01,"571 York Street, Grayslake, IL 60030",(713) 305-1030,blairAN@myuni.db,Humanities
Milena,Carsen,Kemp,2344840186,22-Aug-98,"9229 Old York Court, Alabaster, AL 35007",(719) 299-6141,kempMI@myuni.db,Arts
Saoirse,Dayra,Hutchinson,2344777379,09-Apr-98,"86 Boston Ave., Chelsea, MA 02150",(896) 692-8085,hutchinsonSA@myuni.db,Social Work
Drew,Emerly,Brennan,2344425132,14-Jun-96,"41 E. Thorne Road, Sebastian, FL 32958",(979) 275-9758,brennanDR@myuni.db,Engineering
Hunter,Faiza,Little,2344270801,16-Dec-02,"8488 Proctor Lane, North Bergen, NJ 07047",(869) 924-5998,littleHU@myuni.db,Humanities
Anais,Georgette,Gill,2344412777,07-Jun-01,"815 Winchester Street, Braintree, MA 02184",(440) 642-5118,gillAN@myuni.db,Arts
Paula,Halley,Keller,2344667226,29-Aug-96,"934 West Brookside St., Easton, PA 18042",(249) 207-0302,kellerPA@myuni.db,Architecture
Teresa,Hazeleigh,McConnell,2344233543,24-Feb-05,"72 Highland St., Oak Park, MI 48237",(222) 286-9766,mcconnellTE@myuni.db,Science
Avah,Itzae,Sawyer,2344605306,02-Aug-99,"7352 Poplar Avenue, Kennesaw, GA 30144",(237) 925-6528,sawyerAV@myuni.db,Agriculture
Greta,Ivyanna,Coates,2344444331,16-Sep-05,"7239 Littleton St., Columbia, MD 21044",(412) 517-5346,coatesGR@myuni.db,Engineering
Scout,Jaziyah,Lindsay,2344260892,30-Mar-00,"8776 North 4th St., Mc Lean, VA 22101",(291) 485-5026,lindsaySC@myuni.db,Social Work
Amelie,Jensyn,Gonzalez,2344309446,07-Dec-99,"50 Wintergreen Lane, Marietta, GA 30008",(405) 622-1234,gonzalezAM@myuni.db,Architecture
Chanel,Joanie,English,2344149279,24-Oct-03,"18 Saxon Court, Pewaukee, WI 53072",(364) 873-9816,englishCH@myuni.db,Social Work
Rebekah,Jru,Duke,2344152237,18-Nov-00,"7307 Arrowhead St., Douglasville, GA 30134",(416) 398-9177,dukeRE@myuni.db,Agriculture
Ellison,Kambree,Webb,2344322231,15-Jan-97,"9114 Livingston Ave., Saint Louis, MO 63109",(578) 208-8062,webbEL@myuni.db,Engineering
Kaydence,Kylin,Baldwin,2344724303,04-Oct-00,"32 East Southampton Lane, Scotch Plains, NJ 07076",(373) 593-8008,baldwinKA@myuni.db,Social Work
Royal,Landri,Fletcher,2344686040,25-Aug-02,"285 S. Fairway Lane, Burlington, MA 01803",(906) 264-2681,fletcherRO@myuni.db,Architecture
August,Lizette,Boyd,2344478157,25-May-95,"237 Wrangler Drive, Centreville, VA 20120",(548) 940-9415,boydAU@myuni.db,Engineering
Vienna,Makenzi,Hirsch,2344334056,20-Apr-02,"75 Cedar Drive, Coatesville, PA 19320",(756) 984-5826,hirschVI@myuni.db,Humanities
Anika,Milo,Currie,2344452868,03-Oct-00,"188 E. Bridge St., Dekalb, IL 60115",(289) 562-1915,currieAN@myuni.db,Social Work
Kelly,Nari,Weber,2344363058,28-Jan-97,"349 Homestead St., Flowery Branch, GA 30542",(810) 695-7250,weberKE@myuni.db,Social Work
Aubriella,Nawal,Honeycutt,2344278143,12-Jul-04,"7461 Glenridge Court, Jenison, MI 49428",(876) 908-2018,honeycuttAU@myuni.db,Social Work
Ryann,Oakland,Manning,2344905940,05-Sep-04,"101 Leatherwood Ave., Miami Gardens, FL 33056",(757) 710-6046,manningRY@myuni.db,Engineering
Gwen,Rawlings,Riley,2344140119,20-Sep-02,"385 Squaw Creek Drive, Muskegon, MI 49441",(811) 818-4651,rileyGW@myuni.db,Social Work
Noor,Remmi,Swanson,2344211394,21-Apr-96,"94 N. Glen Creek Rd., Naples, FL 34116",(533) 684-3531,swansonNO@myuni.db,Science
Marianna,Saydee,Huffman,2344292464,11-Jun-99,"98 Piper St., Suitland, MD 20746",(573) 593-0865,huffmanMA@myuni.db,Social Work
Annika,Scotlynn,Gibson,2344577097,02-Jun-98,"155 Bedford Drive, Hempstead, NY 11550",(454) 438-4253,gibsonAN@myuni.db,Engineering
Vada,Sena,Wrenn,2344886190,15-Oct-98,"847 East Parker Street, Warwick, RI 02886",(683) 937-9833,wrennVA@myuni.db,Humanities
Artemis,Spirit,Green,2344551163,22-Mar-97,"741 N. Oak Valley Ave., Herndon, VA 20170",(631) 987-2301,greenAR@myuni.db,Social Work
Laylah,Teagen,Hayes,2344847128,27-Nov-03,"690 Queen St., Park Ridge, IL 60068",(792) 423-6542,hayesLA@myuni.db,Architecture
Elyse,Zemira,Koch,2344289945,25-May-96,"70 Arlington Road, Union, NJ 07083",(303) 893-1694,kochEL@myuni.db,Engineering
Veda,Aadhira,Harrell,2344588219,05-Feb-98,"705 E. Henry Smith Ave., Banning, CA 92220",(228) 367-1653,harrellVE@myuni.db,Humanities
Simone,Aamira,McGuire,2344508871,04-Feb-01,"7432 East William Drive, Upper Darby, PA 19082",(570) 666-9139,mcguireSI@myuni.db,Arts
Alisson,Addeline,Stephenson,2344687140,22-Jun-03,"9370 W. Military Drive, Mount Prospect, IL 60056",(287) 523-5812,stephensonAL@myuni.db,Architecture
Ocean,Alaynah,Baxter,2344523878,14-Oct-96,"16 Jones Road, Greensboro, NC 27405",(901) 420-8698,baxterOC@myuni.db,Engineering
Lilianna,Alorah,Summers,2344808025,02-May-03,"504 County Lane, Spartanburg, SC 29301",(687) 472-5726,summersLI@myuni.db,Architecture
Avalynn,Anny,Nixon,2344206633,21-Dec-00,"89 Brook St., Madisonville, KY 42431",(802) 435-8968,nixonAV@myuni.db,Architecture
Goldie,Arley,Kelly,2344952870,18-Mar-03,"7744 Addison St., North Haven, CT 06473",(810) 548-5378,kellyGO@myuni.db,Social Work
Emmeline,Armanii,Cobb,2344768416,11-Nov-04,"99 E. Shirley Ave., Jeffersonville, IN 47130",(306) 601-0225,cobbEM@myuni.db,Agriculture
Raina,Avana,Bruce,2344877841,21-Aug-02,"9890 Arrowhead Ave., North Miami Beach, FL 33160",(259) 839-0440,bruceRA@myuni.db,Social Work
Chandler,Brook,Newton,2344667463,25-Mar-05,"325 South Rd., Conyers, GA 30012",(465) 635-2039,newtonCH@myuni.db,Science
Adalee,Calleigh,Sanchez,2344522722,08-May-03,"8818 Holly Ave., Tuscaloosa, AL 35405",(280) 424-5084,sanchezAD@myuni.db,Architecture
Violeta,December,Silverman,2344940553,18-Jan-95,"207 Brewery Street, Enfield, CT 06082",(690) 672-1550,silvermanVI@myuni.db,Arts
Lauryn,Denym,Richardson,2344977852,27-Jan-05,"87 Catherine Ave., Oak Forest, IL 60452",(248) 332-7991,richardsonLA@myuni.db,Arts
Birdie,Ellinor,Gay,2344654989,16-Aug-02,"8511 Park Ave., Longwood, FL 32779",(806) 507-3897,gayBI@myuni.db,Humanities
Lexie,Emersynn,Chase,2344372644,16-Jan-02,"1 High Court, Waterbury, CT 06705",(592) 598-4140,chaseLE@myuni.db,Agriculture
Lilyana,Fia,Kern,2344154226,10-Jul-03,"744 West Pineknoll Street, Milwaukee, WI 53204",(467) 450-7174,kernLI@myuni.db,Engineering
Shay,Griselda,Scott,2344994283,02-Sep-04,"80 Augusta Street, Northbrook, IL 60062",(620) 674-9241,scottSH@myuni.db,Agriculture
Natasha,Jacklynn,Bradley,2344693552,09-Jun-97,"4 Sussex St., Hartselle, AL 35640",(666) 821-5317,bradleyNA@myuni.db,Agriculture
Zaria,Kamira,Yang,2344103181,06-Oct-95,"60 Chapel Lane, Brighton, MA 02135",(352) 482-7920,yangZA@myuni.db,Humanities
Deborah,Laelynn,Bunn,2344509077,15-Feb-97,"8 Tailwater Circle, Rockville Centre, NY 11570",(865) 913-6369,bunnDE@myuni.db,Arts
Barbara,Lilya,Link,2344877038,16-May-01,"9872 Cherry St., Euless, TX 76039",(432) 511-0220,linkBA@myuni.db,Agriculture
Emerald,Mahi,Nguyen,2344794718,09-Jan-97,"516 East Valley View St., Palm City, FL 34990",(229) 611-0640,nguyenEM@myuni.db,Arts
Julissa,Maison,Stephens,2344781178,12-Mar-05,"832 Henry St., Cheshire, CT 06410",(267) 828-4011,stephensJU@myuni.db,Science
Austyn,Mandy,Horne,2344579695,26-Jul-99,"8650 6th St., Brookline, MA 02446",(698) 262-5742,horneAU@myuni.db,Arts
Nyomi,Melrose,Burton,2344941427,02-Sep-05,"4 Pheasant St., Granger, IN 46530",(835) 760-3513,burtonNY@myuni.db,Architecture
Kynlee,Mirna,Berry,2344926819,22-Apr-99,"7281 N. Valley View Street, Windermere, FL 34786",(453) 961-3419,berryKY@myuni.db,Architecture
Luella,Nusaybah,Knowles,2344975738,18-Sep-04,"381 South Nichols Street, Elk River, MN 55330",(289) 874-4289,knowlesLU@myuni.db,Arts
Addilynn,Parklynn,Freeman,2344256747,05-May-99,"146 East Bridgeton Ave., Bridgewater, NJ 08807",(999) 691-1400,freemanAD@myuni.db,Engineering
Samira,Roux,Hernandez,2344823713,24-Jun-98,"152 North Cedar Dr., San Pablo, CA 94806",(701) 490-1901,hernandezSA@myuni.db,Agriculture
Madalyn,Saya,Roach,2344552336,23-Apr-98,"162 Shirley Street, Nicholasville, KY 40356",(673) 422-8834,roachMA@myuni.db,Humanities
Stormi,Sylvi,Hardison,2344494056,08-Jul-98,"77 Hilltop St., North Kingstown, RI 02852",(950) 623-9763,hardisonST@myuni.db,Engineering
Ayleen,Vaida,Caldwell,2344867070,19-Apr-03,"531 North 4th St., Monroe, NY 10950",(967) 696-8963,caldwellAY@myuni.db,Humanities
Brylee,Wanda,Mann,2344327999,30-Oct-01,"591 10th Road, Elkridge, MD 21075",(683) 855-7023,mannBR@myuni.db,Architecture
Egypt,Zahava,McLeod,2344812374,06-Mar-96,"9260 Pennington Dr., Lexington, NC 27292",(687) 379-1427,mcleodEG@myuni.db,Humanities
Paityn,Zemirah,Park,2344668826,06-Apr-05,"2 Cobblestone St., Lowell, MA 01851",(288) 756-2651,parkPA@myuni.db,Science
Billie,Zyah,Phillips,2344546560,19-Jul-96,"17 Hill Field Rd., Bartlett, IL 60103",(836) 209-0299,phillipsBI@myuni.db,Engineering
India,Abigale,Pitts,2344557349,05-Oct-97,"41 Ridgeview Street, Sicklerville, NJ 08081",(899) 601-0126,pittsIN@myuni.db,Science
Nancy,Adelaine,Gould,2344289560,05-Dec-05,"216 Oklahoma Road, Willoughby, OH 44094",(605) 403-5522,gouldNA@myuni.db,Architecture
Mazikeen,Ailana,Shapiro,2344184564,28-Jan-02,"7918 Ridgeview St., Chicago Heights, IL 60411",(824) 896-4564,shapiroMA@myuni.db,Science
Aubrielle,Alizabeth,Vincent,2344185242,30-Mar-01,"30 Sleepy Hollow St., Mason City, IA 50401",(442) 238-2149,vincentAU@myuni.db,Arts
Ainhoa,Amayra,Fisher,2344633919,08-Sep-99,"891 East Bay Meadows Street, Leland, NC 28451",(535) 689-6641,fisherAI@myuni.db,Agriculture
Elina,Anyeli,McPherson,2344649932,30-Aug-99,"8161 Military St., Fresh Meadows, NY 11365",(270) 252-3744,mcphersonEL@myuni.db,Engineering
Magdalena,Ariam,McFarland,2344902208,19-Sep-04,"7691 Golden Star Drive, Skokie, IL 60076",(860) 824-3156,mcfarlandMA@myuni.db,Science
Arleth,Bayley,Holden,2344759894,18-Apr-05,"8184 Shady Street, Downingtown, PA 19335",(708) 492-3855,holdenAR@myuni.db,Science
Judith,Blu,Hartman,2344212082,15-Aug-95,"432 Chapel Ave., Winona, MN 55987",(763) 691-1518,hartmanJU@myuni.db,Architecture
Emberlynn,Breeze,Friedman,2344234177,01-Feb-04,"7484 East Newcastle Ave., Abingdon, MD 21009",(598) 625-0575,friedmanEM@myuni.db,Architecture
Paola,Brileigh,Adcock,2344306886,16-Feb-98,"9190 Kingston Drive, Ambler, PA 19002",(591) 525-9548,adcockPA@myuni.db,Architecture
Guinevere,Cari,Lang,2344112935,31-Jan-98,"8304 Big Rock Cove Court, Allison Park, PA 15101",(799) 670-8774,langGU@myuni.db,Humanities
Aiyana,Clio,Aldridge,2344411304,28-Jun-96,"748 County Circle, Pickerington, OH 43147",(521) 363-3054,aldridgeAI@myuni.db,Humanities
Lyanna,Delyla,Davies,2344979567,28-Feb-00,"9 8th St., Framingham, MA 01701",(273) 729-7504,daviesLY@myuni.db,Science
Itzayana,Elisia,Ferrell,2344362755,12-May-02,"435 Hudson Ave., Canfield, OH 44406",(526) 696-8985,ferrellIT@myuni.db,Social Work
Frida,Elva,Hedrick,2344638386,06-May-96,"890 Fremont Drive, Clarkston, MI 48348",(960) 209-5182,hedrickFR@myuni.db,Engineering
Kiera,Falynn,Singh,2344558814,12-Jan-97,"6 Griffin St., Lakeland, FL 33801",(821) 997-6363,singhKI@myuni.db,Agriculture
Azaria,Gaby,Blalock,2344671406,29-Dec-00,"47 Alderwood St., Nutley, NJ 07110",(610) 218-3835,blalockAZ@myuni.db,Social Work
Kamilah,Golden,Grossman,2344440625,28-Jan-97,"326 Cottage Road, Maryville, TN 37803",(811) 860-6662,grossmanKA@myuni.db,Agriculture
Kyleigh,Ilse,Pugh,2344767414,06-Dec-02,"9753 Corona Road, Annapolis, MD 21401",(899) 721-5113,pughKY@myuni.db,Humanities
Nataly,Jaylie,Fernandez,2344731346,10-Jun-95,"9352 Bear Hill St., Bountiful, UT 84010",(568) 759-3833,fernandezNA@myuni.db,Science
Zoya,Jodie,Arnold,2344520326,25-May-00,"9627 Mill Ave., Greer, SC 29650",(218) 611-1858,arnoldZO@myuni.db,Science
Soraya,Kailea,Stanley,2344717963,21-May-95,"943 University St., Oviedo, FL 32765",(641) 566-6179,stanleySO@myuni.db,Architecture
Arlette,Kristel,Field,2344219719,30-Apr-96,"145 Longfellow Street, Murrells Inlet, SC 29576",(238) 338-5407,fieldAR@myuni.db,Architecture
Luisa,Layal,Farmer,2344971847,26-Oct-05,"17 Queen St., Royal Oak, MI 48067",(728) 987-4555,farmerLU@myuni.db,Architecture
Ryder,Liliane,Jernigan,2344502610,16-Feb-00,"394 Bear Hill St., Lockport, NY 14094",(649) 966-0598,jerniganRY@myuni.db,Humanities
Tori,Lorna,Bowers,2344568423,08-May-03,"9177 Sierra Lane, Harrison Township, MI 48045",(623) 611-7435,bowersTO@myuni.db,Architecture
Eleanora,Marcia,Crabtree,2344282947,09-Aug-96,"47 Military St., Wausau, WI 54401",(936) 847-0546,crabtreeEL@myuni.db,Social Work
Soleil,Metztli,Archer,2344821269,15-Mar-95,"513 Henry Smith Rd., Southgate, MI 48195",(213) 635-5748,archerSO@myuni.db,Science
